providers_electricity,providers_heat,providers_bloom_steel,providers_iron_forEAF,providers_naturalgas,providers_iron_forBOF,providers_coal,"fabrication, heavy section wf","fabrication, heavy section elec","hot rolling, blooms elec","steel production, EAF scrap_pct","steel production, EAF wf","steel production, EAF kWh_EAF","steel production, BOF scrap_pct","steel production, BOF wf","iron production, blast furnace co2_kg",gwp,ap,ep,odp,pocp
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Processing",0.054818483,0.076648677,0.034016415,0.868040749,0.01832851,0.50546872,0.142244138,0.059096606,1.050344199,0.8773,0.002408986,0.0010622,2.13E-08,0.051927344
Electricity; at grid; generation mix - Florida Power & Light Co.,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Surface",0.088885693,0.07618397,0.03891898,0.849079591,0.014990684,0.534885518,0.149695928,0.090663352,0.960727768,0.8311,0.002332182,0.00111386,1.71E-08,0.060769824
Electricity; at grid; generation mix - California Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Processing",0.088682271,0.07686226,0.038756199,0.85274271,0.044536896,0.451364507,0.155835911,0.117123098,0.918598363,0.9742,0.00293542,0.00121271,2.37E-08,0.073522226
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Import, SUB, Surface",0.066520022,0.077619547,0.042122385,0.821116021,0.01565841,0.482086901,0.150972431,0.070247529,0.77156178,0.9852,0.003001489,0.001137724,2.19E-08,0.078413706
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Surface",0.06873798,0.075072142,0.034403721,0.873111328,0.022726378,0.502145191,0.156028144,0.089026557,0.818801277,1.124,0.003073906,0.001175773,2.64E-08,0.068349437
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Green River,"iron production, blast furnace","coal extraction and processing - West/Northwest, SUB, Underground",0.081725963,0.076074676,0.03827779,0.900352527,0.042357408,0.469300811,0.148838767,0.144803107,0.771263073,1.1583,0.003466659,0.001161751,3.16E-08,0.070949057
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, WC, Underground",0.062755126,0.075824782,0.040180918,0.884142161,0.014978422,0.529687117,0.150028108,0.08555548,0.993832905,1.0653,0.003117897,0.001087716,2.83E-08,0.067310945
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - West/Northwest, SUB, Underground",0.080870268,0.077446707,0.037751711,0.863367037,0.038428474,0.431317283,0.151294929,0.073531221,0.901446809,1.1255,0.003562939,0.001210026,2.72E-08,0.077010338
Electricity; at grid; generation mix - California Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Lignite, LIG, Surface",0.084176421,0.075086947,0.037673609,0.86641109,0.047109027,0.484205577,0.151461915,0.118864735,0.94231468,0.7518,0.002207574,0.001091554,1.74E-08,0.063655387
Electricity; at grid; generation mix - Tennessee Valley Authority,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Processing",0.066993723,0.076718108,0.041401499,0.878837089,0.042844531,0.565538204,0.156528718,0.086144089,0.920020574,0.8941,0.002467439,0.00106756,2.24E-08,0.052420289
Electricity; at grid; generation mix - Salt River Project Agricultural Improvement and Power District,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Green River,"iron production, blast furnace","coal extraction and processing - Central Interior, LIG, Surface",0.056242304,0.07585617,0.037132812,0.893947422,0.022273681,0.529060648,0.151551025,0.074537238,0.851299089,0.9621,0.002615145,0.001116446,2.49E-08,0.0590071
Electricity; at grid; generation mix - Nevada Power Company,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Southern Appalachia, BIT, Surface",0.06493159,0.075742873,0.036772075,0.887431657,0.038319734,0.600546036,0.143606385,0.134788123,1.037950927,1.1141,0.002949991,0.001154595,2.20E-08,0.082240942
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Powder River Basin, SUB, Surface",0.07382164,0.0770545,0.038747383,0.86687975,0.023219314,0.503020636,0.145580852,0.065516066,0.942773763,1.0465,0.003061795,0.001106821,2.84E-08,0.065765888
Electricity; at grid; generation mix - California Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Underground",0.068182175,0.076998857,0.036827796,0.857501493,0.0255287,0.555260598,0.14356073,0.08223861,0.773530892,0.9838,0.002955582,0.001189601,2.32E-08,0.075751308
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - Green River,"iron production, blast furnace","coal extraction and processing - Import, BIT, Surface",0.051586517,0.076892983,0.038012957,0.822340181,0.046935232,0.4539633,0.148129389,0.075686628,0.884692549,0.9131,0.002856318,0.001103099,2.17E-08,0.066989983
